prefRoute,Max Temp (°C),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h),hours of daylight (hrs),UV Index,holiday,weekday,humidity
ADAWE,1.1,0,0,15,26,35,9.2,1.2,1,3,0.8
LMET,4.4,0,0,15,20,41,9.2,1.2,0,4,0.8
LMET,4.7,0,0,6,22.2,45,9.2,1.2,0,5,0.7
LMET,1.4,0,1.8,4,22.2,45,9.2,1.2,0,6,0.4
ADAWE,-3,0,0,6,28,37,9.2,1.2,0,7,0.6
LMET,-4.1,0,6.6,8,27,35,9.2,1.2,0,1,0.4
LMET,-0.4,0,0,12,27,33,9.2,1.2,0,2,0.5
LMET,-1.2,0,0,10,29,63,9.2,1.2,0,3,0.5
LMET,-10.2,0,0,9,9,42,9.2,1.2,0,4,0.5
LMET,3.7,0,0,8,20,45,9.2,1.2,0,5,0.4
ADAWE,8.3,38.9,0.4,4,34,45,9.2,1.2,0,6,0.5
ADAWE,-2.4,0.8,12,4,4,48,9.2,1.2,0,7,0.7
LMET,-6.8,0.8,0.2,7,22.2,45,9.2,1.2,0,1,0.6
LMET,-5.6,0,0,5,6,32,9.2,1.2,0,2,0.5
LMET,0.7,0,0.2,5,22.2,45,9.2,1.2,0,3,0.5
LMET,-1.9,0,7.4,10,32,55,9.2,1.2,0,4,0.5
LMET,-16.3,0,0,10,32,52,9.2,1.2,0,5,0.5
ADAWE,-14,0,14.3,10,7,54,9.2,1.2,0,6,0.5
ADAWE,-9.5,0,6.6,30,33,41,9.2,1.2,0,7,0.9
LMET,-10.2,0,0,30,32,41,9.2,1.2,0,1,0.7
LMET,-4.5,0,0,29,22,42,9.2,1.2,0,2,0.5
LMET,1.4,0,0,28,20,45,9.2,1.2,0,3,0.5
LMET,1.8,0,0,21,22.2,45,9.2,1.2,0,4,0.4
LMET,1.4,0,0,20,7,45,9.2,1.2,0,5,0.4
ADAWE,0.3,2.8,6.4,18,7,46,9.2,1.2,0,6,0.5
ADAWE,1.4,1.2,5.6,26,22.2,45,9.2,1.2,0,7,0.6
LMET,1.3,0,0.2,29,31,35,9.2,1.2,0,1,0.9
LMET,-1.8,0.6,0,25,32,35,9.2,1.2,0,2,0.7
LMET,-7.9,0,0,22,32,33,9.2,1.2,0,3,0.8
LMET,-6.2,0,0,22,22.2,45,9.2,1.2,0,4,0.7
LMET,-6,0,1,22,22.2,45,9.2,1.2,0,5,0.7
ADAWE,-2.2,0,0,22,22.2,45,10.5,2.3,0,6,0.6
ADAWE,-1.8,0,2.8,21,22.2,45,10.5,2.3,0,7,0.8
LMET,3.6,0,0,21,24,37,10.5,2.3,0,1,0.8
LMET,2,0,0,17,32,39,10.5,2.3,0,2,0.4
LMET,-3.4,0,0,16,32,50,10.5,2.3,0,3,0.6
LMET,-5.4,0.6,7.2,16,3,37,10.5,2.3,0,4,0.9
LMET,-5.4,0,18.8,32,31,58,10.5,2.3,0,5,0.6
ADAWE,-15.1,0,0,41,30,35,10.5,2.3,0,6,0.7
ADAWE,-9.7,0,2.8,41,22.2,45,10.5,2.3,0,7,0.5
LMET,-0.4,0,5.2,49,22.2,45,10.5,2.3,0,1,0.5
LMET,-0.3,0,0,46,25,32,10.5,2.3,0,2,0.4
LMET,1.8,0,0,39,22,45,10.5,2.3,0,3,0.5
LMET,-1,0,4.4,32,32,45,10.5,2.3,0,4,0.5
LMET,-16.1,0,0,34,32,33,10.5,2.3,0,5,0.5
ADAWE,-3,0,0,31,19,52,10.5,2.3,0,6,0.4
ADAWE,3.4,0,0,31,23,46,10.5,2.3,0,7,0.3
LMET,-5.4,0,0,30,22.2,45,10.5,2.3,1,1,0.4
LMET,4.1,0,4.2,30,26,68,10.5,2.3,0,2,0.5
LMET,1,0,0,32,31,72,10.5,2.3,0,3,0.5
LMET,-11.7,0,0,31,28,37,10.5,2.3,0,4,0.2
LMET,-0.6,0,0,29,22,50,10.5,2.3,0,5,0.4
ADAWE,3.4,0,0,27,22,45,10.5,2.3,0,6,0.6
ADAWE,6.1,0,0,25,20,39,10.5,2.3,0,7,0.6
LMET,8.4,0,0,19,18,33,10.5,2.3,0,1,0.4
LMET,4.7,0,0,14,22.2,45,10.5,2.3,0,2,0.7
LMET,0.3,0.8,2.4,13,6,52,10.5,2.3,0,3,0.7
LMET,0.7,3.5,17.2,17,27,58,10.5,2.3,0,4,0.5
LMET,-8.4,0,1.8,24,24,50,10.5,2.3,0,5,0.7
ADAWE,-9.5,0,0,24,29,33,10.5,2.3,0,6,0.9
ADAWE,-4.5,0,2.2,24,22.2,45,12,4,0,7,0.5
LMET,4,4.4,0.8,26,22.2,45,12,4,0,1,0.4
LMET,3.5,8.2,0,23,26,45,12,4,0,2,0.3
LMET,4.1,0,0,17,27,54,12,4,0,3,0.6
LMET,2.4,0,0,16,28,35,12,4,0,4,0.8
LMET,0,0.4,4.4,18,5,48,12,4,0,5,0.9
ADAWE,-1,0,0,17,2,32,12,4,0,6,0.6
ADAWE,6.5,0,0,17,22.2,45,12,4,0,7,0.4
LMET,12.8,2.6,0,11,20,32,12,4,0,1,0.8
LMET,7.8,3.9,0,4,31,50,12,4,0,2,0
LMET,-1.6,0,0,2,33,33,12,4,0,3,0.6
LMET,1.8,0,0,2,8,42,12,4,0,4,0.6
LMET,7.2,8.3,0,2,24,74,12,4,0,5,0.5
ADAWE,4.5,0,0,2,26,63,12,4,0,6,0.5
ADAWE,-1.9,0,0,2,33,41,12,4,0,7,0.7
LMET,-1.1,0,0,2,22.2,45,12,4,0,1,0.8
ADAWE,5.8,6.6,0,2,24,48,12,4,0,2,0.6
ADAWE,3.2,0,0,1,22.2,45,12,4,0,3,0.5
ADAWE,3.8,0.3,0,0,5,33,12,4,0,4,0.4
ADAWE,14.2,3.7,0,0,26,74,12,4,0,5,0.5
ADAWE,-3.6,0,0,0,33,55,12,4,0,6,0.7
ADAWE,-0.3,0,0,0,8,35,12,4,0,7,0.6
ADAWE,0.1,0,5.6,0,7,33,12,4,0,1,0.8
ADAWE,4.5,0,0,5,22.2,45,12,4,0,2,0.8
ADAWE,5.2,0,0,1,22.2,45,12,4,0,3,0.5
ADAWE,10.9,3.7,0,0,27,50,12,4,0,4,0.4
CRTZ,8.2,0,0,0,32,39,12,4,0,5,0.5
CRTZ,7.3,0,0,0,6,33,12,4,0,6,0.3
ADAWE,8.2,18.7,0,0,7,48,12,4,0,7,0.3
ADAWE,9,6.9,0,0,6,41,12,4,0,1,0.6
CRTZ,8.9,0.4,0,0,6,46,12,4,0,2,0.9
ADAWE,7.4,0,0,0,4,33,13.5,6.2,0,3,0.7
CRTZ,10.8,0,0,0,35,52,13.5,6.2,0,4,0.7
ADAWE,10,1.5,0,0,3,39,13.5,6.2,0,5,0.5
ADAWE,14.3,0,0,0,22.2,45,13.5,6.2,0,6,0.4
ADAWE,10.4,0.8,0,0,28,42,13.5,6.2,0,7,0.6
ADAWE,14.7,0,0,0,29,52,13.5,6.2,0,1,0.5
ADAWE,13.1,0,0,0,32,41,13.5,6.2,0,2,0.6
ADAWE,7.9,0,0,0,5,32,13.5,6.2,0,3,0.8
ADAWE,7.7,10.8,0.8,0,28,65,13.5,6.2,0,4,0.9
ADAWE,5.2,0.2,1,0,33,58,13.5,6.2,1,5,0.9
ADAWE,8.7,0,0,2,31,52,13.5,6.2,0,6,0.7
CRTZ,12.1,0,0,2,20,45,13.5,6.2,0,7,0.7
ADAWE,15.3,19.8,0,2,24,74,13.5,6.2,1,1,0.8
ADAWE,8.4,0,2,2,24,63,13.5,6.2,0,2,0.5
ADAWE,4.4,0,0,0,23,46,13.5,6.2,0,3,0.7
ADAWE,5.8,0,0,1,26,52,13.5,6.2,0,4,0.9
ADAWE,11.1,0,0,1,27,45,13.5,6.2,0,5,0.5
ADAWE,11.1,0,0,1,22,37,13.5,6.2,0,6,0.5
ADAWE,7.8,6.4,0,1,27,48,13.5,6.2,0,7,0.7
ADAWE,6,0,0,1,33,33,13.5,6.2,0,1,0.6
ADAWE,7.8,3.2,2,1,24,80,13.5,6.2,0,2,0.4
ADAWE,3,0,0.6,2,29,67,13.5,6.2,0,3,0.7
ADAWE,7.4,0,0,0,31,32,13.5,6.2,0,4,0.9
ADAWE,9.4,0,0,0,5,33,13.5,6.2,0,5,0.8
ORPY,15.4,0,0,0,22.2,45,13.5,6.2,0,6,0.8
ORPY,13,0,0,0,7,42,13.5,6.2,0,7,0.7
ADAWE,13.6,0,0,0,5,39,13.5,6.2,0,1,0.8
ORPY,15.4,0,0,0,22.2,45,13.5,6.2,0,2,0.7
ORPY,16.8,0,0,0,10,54,13.5,6.2,0,3,0.5
ADAWE,13,21.6,0,0,11,48,13.5,6.2,0,4,0.5
ADAWE,14.4,2.3,0,0,34,46,15,7.5,0,5,0.8
ORPY,20.5,1.3,0,0,23,54,15,7.5,0,6,0.7
ORPY,22.1,0.3,0,0,25,59,15,7.5,0,7,0.7
ADAWE,11.2,0,0,0,34,50,15,7.5,0,1,0.7
ADAWE,11.6,0,0,0,33,41,15,7.5,0,2,0.4
ORPY,15.2,0,0,0,34,32,15,7.5,0,3,0.6
ADAWE,15.3,0,0,0,30,58,15,7.5,0,4,0.5
ADAWE,5.8,0,0.4,0,31,42,15,7.5,0,5,0.6
ADAWE,5.7,0,0,0,31,65,15,7.5,0,6,0.6
ORPY,12.6,0,0,0,28,54,15,7.5,0,7,0.5
ADAWE,10.6,0,0,0,31,42,15,7.5,0,1,0.6
ADAWE,8.8,0,0,0,27,45,15,7.5,0,2,0.7
ORPY,14.7,0,0,0,28,41,15,7.5,0,3,0.9
ORPY,18.1,0.2,0,0,23,37,15,7.5,0,4,0.9
ADAWE,17.6,24,0,0,3,32,15,7.5,0,5,0.9
ORPY,17.6,0,0,0,32,37,15,7.5,0,6,0.8
ORPY,19.8,0,0,0,22.2,45,15,7.5,0,7,0.8
ORPY,21,0,0,0,8,42,15,7.5,1,1,0.9
ADAWE,19.8,0,0,0,6,46,15,7.5,0,2,0.8
